POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
30,Jofra Archer,4.0,22,1,0,14,24.0,MI,Sawai Mansingh Stadium,2019-04-20,2019
31,Khaleel Ahmed,4.0,22,1,0,14,24.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,2019
32,Jasprit Bumrah,4.0,22,0,1,14,0.0,RCB,Wankhede Stadium,2019-04-15,2019
33,Bhuvneshwar Kumar,4.0,22,0,0,14,0.0,RR,Sawai Mansingh Stadium,2019-04-27,2019
34,Harbhajan Singh,4.0,25,1,0,14,24.0,MI,Chidambaram,2019-05-07,2019
35,Deepak Chahar,4.0,28,0,0,14,0.0,PBKS,IS Bindra Stadium,2019-05-05,2019
36,Rahul Chahar,4.0,14,2,0,13,12.0,CSK,Chidambaram,2019-05-07,2019
37,Jasprit Bumrah,4.0,14,2,0,13,12.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,2019
38,Rahul Chahar,4.0,14,1,0,13,24.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,2019
39,Jofra Archer,4.0,17,2,1,13,12.0,CSK,Chidambaram,2019-03-31,2019
40,Rashid Khan,4.0,17,2,0,13,12.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,2019
41,Jofra Archer,4.0,17,0,0,13,0.0,PBKS,Sawai Mansingh Stadium,2019-03-25,2019
42,Jasprit Bumrah,4.0,18,2,0,13,12.0,DC,Arun Jaitley Stadium,2019-04-18,2019
43,Rashid Khan,4.0,18,1,0,13,24.0,DC,Arun Jaitley Stadium,2019-04-04,2019
44,Mitchell McClenaghan,4.0,19,0,1,13,0.0,KKR,Wankhede Stadium,2019-05-05,2019
45,Piyush Chawla,4.0,19,0,0,13,0.0,RR,Sawai Mansingh Stadium,2019-04-07,2019
46,Sandeep Sharma,3.5,19,3,0,13,7.66,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,2019
47,Harbhajan Singh,4.0,20,3,0,13,8.0,RCB,Chidambaram,2019-03-23,2019
48,Imran Tahir,4.0,20,2,0,13,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,2019
49,Mohammad Shami,4.0,21,3,0,13,8.0,MI,Wankhede Stadium,2019-04-10,2019
50,Rahul Chahar,4.0,21,2,0,13,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-06,2019
51,Shreyas Gopal,4.0,21,2,0,13,12.0,DC,Arun Jaitley Stadium,2019-05-04,2019
52,Krunal Pandya,4.0,21,1,0,13,24.0,CSK,Chidambaram,2019-05-07,2019
53,Sunil Narine,4.0,22,0,0,13,0.0,RR,Sawai Mansingh Stadium,2019-04-07,2019
54,Kagiso Rabada,4.0,23,2,0,13,12.0,PBKS,Arun Jaitley Stadium,2019-04-20,2019
55,Harbhajan Singh,4.0,23,0,0,13,0.0,MI,Chidambaram,2019-04-26,2019
56,Navdeep Saini,4.0,23,0,0,13,0.0,PBKS,IS Bindra Stadium,2019-04-13,2019
57,Navdeep Saini,4.0,24,2,0,13,12.0,DC,M. Chinnaswamy Stadium,2019-04-07,2019
58,Yuzvendra Chahal,4.0,27,2,0,13,12.0,MI,Wankhede Stadium,2019-04-15,2019
59,Rashid Khan,4.0,27,1,0,13,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-04-06,2019
