Players,Team,Type,Base,Sold
Vicky Ostwal,-,AR,0,
Shivalik Sharma,-,AR,0,
Salil Arora,-,BAT,0,
Dinesh Bana,-,BAT,0,
Guruswamy Ajitesh,-,BAT,0,
Narayan Jagadeesan,-,BAT,0,
Krishnan Shrijith,MI,BAT,0,0.3
Michael Pepper,-,BAT,0,
Vishnu Solanki,-,BAT,0,
KM Asif,-,BOWL,0,
Akhil Chaudhary,-,BOWL,0,
Himanshu Chauhan,-,BOWL,0,
Arpit Guleria,-,BOWL,0,
Saranu Nishanth,-,BOWL,0,
Kuldip Yadav,-,BOWL,0,
Prithvi Raj,-,BOWL,0,
Shubham Agarwal,-,BOWL,0,
Jasinder Singh,-,BOWL,0,
Jasmer Dhankhar,-,BOWL,0,
Pulkit Narang,-,BOWL,0,
Saumy Pandey,-,BOWL,0,
Mohit Rathee,RCB,BOWL,0,0.3
Himanshu Singh,-,BOWL,0,
Towhid Hridoy,-,BAT,0,
Mikyle Louis,-,BAT,0,
Harry Tector,-,BAT,0,
Rassie van der Dussen,-,BAT,2,
Will Young,-,BAT,1,
Najibullah Zadran,-,BAT,0,
Ibrahim Zadran,-,BAT,0,
Sean Abbott,-,AR,2,
Jacob Bethell,RCB,AR,1,2.6
Brydon Carse,SRH,AR,1,1.0
Aaron Hardie,PBKS,AR,1,1.25
Sarfaraz Khan,-,AR,0,
Kyle Mayers,-,AR,1,
Kamindu Mendis,SRH,AR,0,0.75
Matthew Short,-,AR,0,
Jason Behrendorff,-,BOWL,1,
Dushmantha Chameera,DC,BOWL,0,0.75
Nathan Ellis,CSK,BOWL,1,2.0
Shamar Joseph,LSG,BOWL,0,0.75
Josh Little,-,BOWL,0,
Shivam Mavi,-,BOWL,0,
Jhye Richardson,-,BOWL,1,
Navdeep Saini,-,BOWL,0,
Tanmay Agarwal,-,BAT,0,
Amandeep Khare,-,BAT,0,
Ayush Mhatre,-,BAT,0,
Salman Nizar,-,BAT,0,
Aniket Verma,SRH,BAT,0,0.3
Sumeet Verma,-,BAT,0,
Manan Vohra,-,BAT,0,
Samarth Vyas,-,BAT,0,
Raj Bawa,MI,AR,0,0.3
Emanjot Singh Chahal,-,AR,0,
Musheer Khan,PBKS,AR,0,0.3
Manvanth Kumar,DC,AR,0,0.3
Mayank Rawat,-,AR,0,
Suryansh Shedge,PBKS,AR,0,0.3
Hrithik Shokeen,-,AR,0,
Sonu Yadav,-,AR,0,
Rithik Easwaran,-,BAT,0,
Anmol Malhotra,-,BAT,0,
Pradosh Ranjan Paul,-,BAT,0,
Karteek Sharma,-,BAT,0,
Akash Singh,-,BAT,0,
Tejasvi Singh,-,BAT,0,
Siddarth Yadav,-,BAT,0,
Saurabh Dubey,-,BOWL,0,
Aaqib Khan,-,BOWL,0,
Kulwant Khejroliya,GT,BOWL,0,0.3
Ankit Rajpoot,-,BOWL,0,
Divesh Sharma,-,BOWL,0,
Naman Tiwari,-,BOWL,0,
Prince Yadav,LSG,BOWL,0,0.3
Kunal Singh Chibb,-,BOWL,0,
Yuvraj Chudasama,-,BOWL,0,
Deepak Devadiga,-,BOWL,0,
Ramesh Prasad,-,BOWL,0,
Shivam Shukla,-,BOWL,0,
Tejpreet Singh,-,BOWL,0,
Qais Ahmad,-,AR,0,
Charith Asalanka,-,AR,0,
Michael Bracewell,-,AR,1,
Gudakesh Motie,-,AR,0,
Dan Mousley,-,AR,0,
Jamie Overton,CSK,AR,1,1.5
Dunith Wellalage,-,AR,0,
Ottneil Baartman,-,BOWL,0,
Xavier Bartlett,PBKS,BOWL,0,0.8
Dilshan Madushanka,-,BOWL,0,
Adam Milne,-,BOWL,2,
Lungi Ngidi,RCB,BOWL,1,1.0
William O’Rourke,-,BOWL,1,
Chetan Sakariya,-,BOWL,0,
Sandeep Warrier,-,BOWL,0,
Musaif Ajaz,-,BAT,0,
Agni Chopra,-,BAT,0,
Abhimanyu Easwaran,-,BAT,0,
Sudip Kumar Gharami,-,BAT,0,
Shubham Khajuria,-,BAT,0,
Akhil Rawat,-,BAT,0,
Prateek Yadav,-,BAT,0,
Abdul Basith,-,AR,0,
KC Cariappa,-,AR,0,
Yuvraj Chaudhary,LSG,AR,0,
Aman Khan,-,AR,0,
Sumit Kumar,-,AR,0,
Kamlesh Nagarkoti,CSK,AR,0,0.3
Hardik Raj,-,AR,0,
Harsh Tyagi,-,AR,0,
M Ajnas,-,BAT,0,
Unmukt Chand,-,BAT,0,
Tejasvi Dahiya,-,BAT,0,
Sumit Ghadigaonkar,-,BAT,0,
Baba Indrajith,-,BAT,0,
Muhammed Adnan Khan,-,BAT,0,
Bhagmender Lather,-,BAT,0,
Baltej Singh,-,BOWL,0,
Ali Khan,-,BOWL,0,
Ravi Kumar,-,BOWL,0,
Vineet Panwar,-,BOWL,0,
Vidyadhar Patil,-,BOWL,0,
Aaradhya Shukla,-,BOWL,0,
Abhinandan Singh,RCB,BOWL,0,0.3
Cooper Connolly,-,AR,0,
Dushan Hemantha,-,AR,0,
Jason Holder,-,AR,2,
Karim Janat,GT,AR,0,0.75
James Neesham,-,AR,1,
Daniel Sams,-,AR,1,
Will Sutherland,-,AR,0,
Taskin Ahmed,-,BOWL,1,
Ben Dwarshuis,-,BOWL,0,
